A1 Return,A2 Return,A3 Return,Total Return,total_episode,total_numsteps
-81.86217127847041,-82.26217127847042,-82.56217127847042,-246.6865138354113,20,525
-69.71367573417172,-69.81367573417171,-70.21367573417172,-209.7410272025151,30,775
-75.57465116647481,-75.7746511664748,-75.6746511664748,-227.0239534994244,40,1025
-68.22099203194583,-68.22099203194583,-67.22099203194581,-203.66297609583745,50,1275
-73.84901594054097,-72.44901594054099,-73.84901594054097,-220.1470478216229,60,1525
-78.18672987747472,-79.78672987747471,-79.98672987747472,-237.96018963242415,70,1775
-80.76457834735243,-79.76457834735243,-80.96457834735243,-241.49373504205727,80,2025
-73.92894297789528,-73.22894297789529,-73.72894297789529,-220.88682893368588,90,2275
-71.59524158544576,-71.49524158544577,-72.19524158544576,-215.2857247563373,100,2525
-74.03153143508294,-73.83153143508295,-74.23153143508294,-222.09459430524885,110,2775
-74.3960316325661,-73.8960316325661,-74.09603163256611,-222.38809489769832,120,3025
-71.83747406088386,-71.93747406088387,-71.53747406088387,-215.3124221826516,130,3275
-77.46725122578391,-75.86725122578392,-77.46725122578391,-230.80175367735174,140,3525
-69.21661259720018,-69.21661259720018,-69.21661259720018,-207.64983779160056,150,3775
-79.20270683726929,-77.70270683726929,-78.20270683726929,-235.10812051180787,160,4025
-67.30456623496234,-67.30456623496234,-67.10456623496233,-201.713698704887,170,4275
-72.92710105679348,-73.02710105679347,-72.72710105679347,-218.6813031703804,180,4525
-79.186652310522,-79.38665231052201,-76.98665231052198,-235.559956931566,190,4775
-71.6925682365744,-71.8925682365744,-71.59256823657441,-215.17770470972317,200,5025
-67.94824532603153,-68.64824532603151,-68.84824532603152,-205.44473597809457,210,5275
-65.68335893884822,-65.88335893884822,-65.88335893884822,-197.45007681654465,220,5525
-75.34332061143104,-75.34332061143104,-75.64332061143104,-226.3299618342931,230,5775
-74.10890358675243,-73.70890358675243,-72.60890358675242,-220.42671076025727,240,6025
-82.67137799324976,-81.97137799324977,-81.37137799324977,-246.0141339797493,250,6275
-66.15180791656307,-66.65180791656307,-64.75180791656308,-197.55542374968923,260,6525
